region,country,lat,long,confirmed,deaths,recovered,label,value
N/A,New Zealand,-21.2367,-159.7777,1,0,534384,,
N/A,New Zealand,-40.9006,174.886,3519,26,145953,,
N/A,Nicaragua,12.865416,-85.207229,11167,199,675767,,
N/A,Niger,17.607789,8.081666,5843,198,3282631,,
N/A,Nigeria,9.082,8.6753,191805,2455,10272,,
N/A,North Macedonia,41.6086,21.7453,175624,5901,35,,
N/A,Norway,60.472,8.4689,158389,814,626,,
N/A,Oman,21.512583,55.923255,302239,4063,251,,
N/A,Pakistan,30.3753,69.3451,1160119,25788,2,,
N/A,Palau,7.515,134.5825,2,0,2723,,
N/A,Panama,8.538,-80.7821,457037,7054,1045,,
N/A,Papua New Guinea,-6.314993,143.95555,17838,192,359839,,
N/A,Paraguay,-23.4425,-58.4438,458455,15742,22145,,
N/A,Peru,-9.19,-75.0152,2149591,198263,0,,
N/A,Philippines,12.879721,121.774017,1976202,33330,1052,,
N/A,Poland,51.9194,19.1451,2888385,75340,2329,,
N/A,Portugal,39.3999,-8.2245,1036019,17730,59271,,
N/A,Qatar,25.3548,51.1839,232571,602,218923,,
N/A,Romania,45.9432,24.9668,1097452,34539,146003,,
N/A,Russia,61.52401,105.318756,6803323,179233,10,,
N/A,Rwanda,-1.9403,29.8739,87131,1083,3666,,
N/A,Saint Kitts and Nevis,17.357822,-62.782998,1053,3,1306022,,
N/A,Saint Lucia,13.9094,-60.9789,8155,103,3613,,
N/A,Saint Vincent and the Grenadines,12.9843,-61.2872,2336,12,150376,,
N/A,Samoa,-13.759,-172.1046,3,0,58075,,
N/A,San Marino,43.9424,12.4578,5321,90,21504,,
N/A,Sao Tome and Principe,0.1864,6.6131,2593,37,0,,
N/A,Saudi Arabia,23.885942,45.079162,543318,8512,7734,,
N/A,Senegal,14.4974,-14.4524,72753,1760,0,,
N/A,Serbia,44.0165,21.0059,759952,7278,317600,,
N/A,Seychelles,-4.6796,55.492,19976,104,7644,,
N/A,Sierra Leone,8.460555,-11.779889,6367,121,830,,
N/A,Singapore,1.2833,103.8333,67459,55,13218,,
N/A,Slovakia,48.669,19.699,394791,12548,183,,
N/A,Slovenia,46.1512,14.9955,266657,4449,13217,,
N/A,Solomon Islands,-9.6457,160.1562,20,0,55,,
N/A,Somalia,5.152149,46.199616,17399,969,4282,,
N/A,South Africa,-30.5595,22.9375,2770575,81830,7178,,
N/A,South Sudan,6.877,31.307,11427,120,162223,,
N/A,Spain,40.463667,-3.74922,4847298,84146,2370431,,
N/A,Sri Lanka,7.873054,80.771797,436081,8991,0,,
N/A,Sudan,12.8628,30.2176,37708,2831,14229,,
N/A,Summer Olympics 2020,35.6491,139.7737,777,0,1059457,,
N/A,Suriname,3.9193,-56.0278,28967,718,281410,,
N/A,Sweden,60.128161,18.643501,1123413,14685,15,,
N/A,Switzerland,46.8182,8.2275,776962,10978,653,,
N/A,Syria,34.802075,38.996815,27779,2007,95,,
N/A,Taiwan*,23.7,121,15991,834,357,,
N/A,Tajikistan,38.861,71.2761,16817,124,3286,,
N/A,Tanzania,-6.369028,34.888822,1367,50,34,,
N/A,Thailand,15.870032,100.992541,1190063,11399,3745,,
N/A,Timor-Leste,-8.874217,125.727539,16515,64,398,,
N/A,Togo,8.6195,0.8248,21261,185,12,,
N/A,Trinidad and Tobago,10.6918,-61.2225,44606,1285,4,,
N/A,Tunisia,33.886917,9.537499,662752,23430,1140,,
N/A,Turkey,38.9637,35.2433,6366408,56458,0,,
N/A,US,40,-100,39057368,638711,35535,,
N/A,Uganda,1.373333,32.290275,119825,3006,77221,,
N/A,Ukraine,48.3794,31.1656,2382769,56934,1,,
N/A,United Arab Emirates,23.424076,53.847818,717374,2039,119291,,
N/A,United Kingdom,18.2206,-63.0686,217,0,1460,,
N/A,United Kingdom,32.3078,-64.7505,2844,33,149621,,
Anguilla,United Kingdom,18.4207,-64.64,2568,37,1426,,
Bermuda,United Kingdom,19.3133,-81.2546,680,2,49394,,
British Virgin Islands,United Kingdom,49.3723,-2.3644,10486,95,26583,,
Cayman Islands,United Kingdom,-51.7963,-59.5236,66,0,0,,
Channel Islands,United Kingdom,36.1408,-5.3536,5342,97,0,,
Falkland Islands (Malvinas),United Kingdom,54.2361,-4.5481,6653,38,0,,
Gibraltar,United Kingdom,16.742498,-62.187366,29,1,0,,
Isle of Man,United Kingdom,-7.9467,-14.3559,4,0,0,,
Montserrat,United Kingdom,21.694,-71.7979,2650,20,0,,
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,55.3781,-3.436,6757650,132485,0,,
Turks and Caicos Islands,Uruguay,-32.5228,-55.7658,384778,6029,0,,
N/A,Uzbekistan,41.377491,64.585262,155639,1075,0,,
N/A,Vanuatu,-15.3767,166.9592,4,1,0,,
N/A,Venezuela,6.4238,-66.5897,334343,4010,0,,
N/A,Vietnam,14.058324,108.277199,449489,11064,0,,
N/A,West Bank and Gaza,31.9522,35.2332,339816,3675,0,,
N/A,Yemen,15.552727,48.516388,7829,1469,0,,
N/A,Zambia,-13.133897,27.849332,206145,3599,0,,
N/A,Zimbabwe,-19.015438,29.154857,124581,4416,0,,
